,id,name,kor_name,description,kor_description,citation_uri,positive_examples,child_ids,restrictions
0,/m/0dgw9r,Human sounds,인간 소리,Sounds produced by the human body through the actions of the individual.,개인의 행동을 통해 사람의 몸에서 발생된 소리,,[],"['/m/09l8g', '/m/01w250', '/m/09hlz4', '/m/0bpl036', '/m/0160x5', '/m/0k65p', '/m/01jg02', '/m/04xp5v', '/t/dd00012']",['abstract']
1,/m/09l8g,Human voice,인성,"The human voice consists of sound made by a human being using the vocal folds for talking, singing, laughing, crying, screaming, etc. The human voice is specifically a part of human sound production in which the vocal folds are the primary sound source.","말하고 노래하고, 웃고, 울고, 비명을 지르는 등 인간의 성대를 사용하는 소리로 구성된다. 특히 성대가 주된 음원이 되는 인간의 소리이다.",http://en.wikipedia.org/wiki/Human_voice,[],"['/m/09x0r', '/m/07p6fty', '/m/03qc9zr', '/m/02rtxlg', '/m/01j3sz', '/m/0463cq4', '/m/07qw_06', '/m/07plz5l', '/m/015lz1', '/m/02fxyj', '/m/07s2xch', '/m/07r4k75', '/m/01j423']",['abstract']
2,/m/09x0r,Speech,발화,"Speech is the vocalized form of human communication, created out of the phonetic combination of a limited set of vowel and consonant speech sound units.",제한된 모음과 자음 음성 단위들의 발음 조합으로 만들어진 인간의 의사 소통이다.,http://en.wikipedia.org/wiki/Speech,"['youtu.be/8uI9H5jGRV8?start=30&end=40', 'youtu.be/cz8QIJHjZh4?start=30&end=40', 'youtu.be/91FIbeKyIhw?start=30&end=40', 'youtu.be/a8igK2oWlVY?start=30&end=40', 'youtu.be/2hvTtM7VdJg?start=30&end=40', 'youtu.be/S7ytQItOrkk?start=30&end=40', 'youtu.be/Zyl2Q3GepPA?start=30&end=40', 'youtu.be/CU1qRm_Bcps?start=30&end=40']","['/m/05zppz', '/m/02zsn', '/m/0ytgt', '/m/01h8n0', '/m/02qldy', '/m/0261r1', '/m/0brhx']",[]
3,/m/05zppz,"Male speech, man speaking",남성 발화,Speech uttered by an adult male human.,성인 남성이 하는 말.,,"['youtu.be/fPgUDHwQOmM?start=320&end=330', 'youtu.be/g3YNJ3ESIW0?start=30&end=40', 'youtu.be/3PESOesDniw?start=30&end=40', 'youtu.be/E8RfeFAzHK4?start=30&end=40', 'youtu.be/A_WSbkJozPs?start=90&end=100', 'youtu.be/-yZuFZRojYA?start=30&end=40']",[],[]
4,/m/02zsn,"Female speech, woman speaking",여성 발화,Speech uttered by an adult female human.,성인 여성이 하는 말.,,"['youtu.be/4l05nCOnIRg?start=30&end=40', 'youtu.be/5zyOhZsvIzI?start=30&end=40', 'youtu.be/1xXqIpjxYG4?start=30&end=40', 'youtu.be/xYPZJkfiyjk?start=90&end=100', 'youtu.be/46lVxNflfDw?start=30&end=40', 'youtu.be/8OpLsWMn6P0?start=30&end=40', 'youtu.be/WLi5_z61zCE?start=30&end=40']",[],[]
5,/m/0ytgt,"Child speech, kid speaking",아이 발화,"Speech uttered by a human child, i.e. a human whose voice does not yet resemble that of an adult.","인간의 아이가 하는 말, 즉 아직 성인의 목소리와 비슷하지 않은 사람이 하는 말.",,"['youtu.be/iPIGoScYduI?start=210&end=220', 'youtu.be/DiJgMH7vg1E?start=30&end=40', 'youtu.be/arz0xujSWdY?start=230&end=240', 'youtu.be/-oC3FVOx62g?start=210&end=220', 'youtu.be/5-R8zaohZrU?start=10&end=20', 'youtu.be/OXJ77G_TqDc?start=40&end=50', 'youtu.be/koW60o-aLjI?start=470&end=480', 'youtu.be/uBVLhywbCQk?start=30&end=40']",[],[]
6,/m/01h8n0,Conversation,대화,"Interactive, spontaneous spoken communication between two or more people.","두 명 이상의 사람들 사이의 대화, 자발적인 음성 의사 소통.",http://en.wikipedia.org/wiki/Conversation,"['youtu.be/4FQxw_49xAk?start=30&end=40', 'youtu.be/0WcG16XxghA?start=30&end=40', 'youtu.be/A0Lpt0VWYCA?start=50&end=60', 'youtu.be/ermWzXxDjOQ?start=110&end=120', 'youtu.be/DhlPa8lUosM?start=300&end=310']",[],[]
7,/m/02qldy,"Narration, monologue","나레이션, 독백","Speech by a single human aimed at an audience (either present or assumed, as in a video blog).",한 사람이 청중을 대상으로 한 발화. (현장에서 또는 영상물),http://en.wikipedia.org/wiki/Narration,"['youtu.be/8maPz8qrmnM?start=30&end=40', 'youtu.be/6tXGhWY1I8I?start=30&end=40', 'youtu.be/FwRo7yXVnL0?start=30&end=40', 'youtu.be/TKPjvQtnELU?start=360&end=370', 'youtu.be/EmLsodfGoes?start=30&end=40', 'youtu.be/20lm7Ow9RSY?start=30&end=40', 'youtu.be/25K0bryItv4?start=30&end=40']",[],[]
8,/m/0261r1,Babbling,"재잘거림, 옹알이",Speech-like sounds uttered by a human that lack the deeper structure and meaning of conventional speech. Babbling is a stage in a child's development of language.,"옹알이, 즉 어린이의 언어 발달 단계에서 나타나는 소리. 일반적인 발화의 깊은 구조와 의미가 부족한 사람의 말 소리. ",http://en.wikipedia.org/wiki/Babbling,"['youtu.be/ZR48r_8OhUI?start=50&end=60', 'youtu.be/2ZxE0uMIfa0?start=10&end=20', 'youtu.be/vFbu0dH7f-U?start=10&end=20', 'youtu.be/soXBLBCaClA?start=90&end=100', 'youtu.be/lluzItlOMlQ?start=10&end=20', 'youtu.be/EyCpVw_Xn60?start=130&end=140']",[],[]
9,/m/0brhx,Speech synthesizer,합성 음성,Artificially-produced human speech.,인위적으로 만들어진 말 소리.,http://en.wikipedia.org/wiki/Speech_synthesis,"['youtu.be/Y1ywO5WfUqE?start=90&end=100', 'youtu.be/-2Krnsj-edU?start=40&end=50', 'youtu.be/0npIcSXb1Bc?start=13&end=23', 'youtu.be/0wVUdVYmZ5A?start=30&end=40']",[],[]
10,/m/07p6fty,Shout,외침,Talk in a loud voice to deliberately command attention or overcome interfering sounds. Does not have the stronger emotional connotations of Yell or Scream.,의도적으로 주의를 끌거나 방해되는 소리를 극복하기 위해 크게 이야기하는 소리. 고함 또는 비명보다 약한 감정적 함축을 갖고 있다.,http://wordnetweb.princeton.edu/perl/webwn?s=shout,"['youtu.be/-aY64NxBVas?start=480&end=490', 'youtu.be/mPr3kCL5y10?start=210&end=220', 'youtu.be/5YB13i75Nr4?start=60&end=70', 'youtu.be/X04FOAQFn5I?start=130&end=140']","['/m/07q4ntr', '/m/07rwj3x', '/m/07sr1lc', '/m/04gy_2', '/t/dd00135']",[]
11,/m/07q4ntr,Bellow,우렁찬 고함,A very loud utterance by a person that seems more animal than human.,사람보다는 동물처럼 보이는 사람의 아주 큰 목소리.,http://wordnetweb.princeton.edu/perl/webwn?s=bellow,"['youtu.be/gLl7DnPIZd4?start=20&end=30', 'youtu.be/rGbppkm9MYs?start=90&end=100']",[],[]
12,/m/07rwj3x,Whoop,함성,A loud hooting cry of exultation or excitement.,환희나 흥분에 찬 큰 고함소리.,http://wordnetweb.princeton.edu/perl/webwn?s=whoop,"['youtu.be/TKwuq-O67VE?start=9&end=19', 'youtu.be/yfwQgGVZtqI?start=30&end=40', 'youtu.be/2Z0FSALnSmM?start=30&end=40', 'youtu.be/TDJ746q3sAU?start=170&end=180', 'youtu.be/pB4Bh36b1Ss?start=30&end=40', 'youtu.be/4Gw8jFlJyLI?start=50&end=60', 'youtu.be/7yGHDT7r2u8?start=1&end=11', 'youtu.be/5yD_YeSuTzQ?start=150&end=160', 'youtu.be/NPkO63FcFXM?start=30&end=40']",[],[]
13,/m/07sr1lc,Yell,고함,"Utter or declare in a very loud voice that seems excessive or involuntary, or that is deliberately startling in order to command attention, as distinct from the pragmatically raised voice of Shout.","지나치게 높거나 무의식적으로 보이는 매우 큰 목소리의 말, 또는 선언. 혹은 주의를 끌기 위해 일부러 깜짝 놀랄 정도로 큰 목소리로 말하거나 선언하는 소리.",http://wordnetweb.princeton.edu/perl/webwn?s=yell,"['youtu.be/YMeuw-x86KU?start=30&end=40', 'youtu.be/NMn-9tvzQZA?start=30&end=40', 'youtu.be/AperXKEnTJ4?start=30&end=40', 'youtu.be/pXawVUjQLok?start=30&end=40', 'youtu.be/vOEF-FzwSlM?start=100&end=110']",[],[]
14,/m/04gy_2,Battle cry,함성(전쟁),"A yell or chant taken up in battle, usually by members of the same combatant group, aiming at arousing aggression on one's own side and intimidating the enemy.",일반적으로 동일한 전투원 그룹의 구성원들이 전투에서 발생하는 고함 소리나 노래. 자신의 편에서 공격을 유발하고 적을 위협하기 위해 사용하는 고함소리와 구호.,http://en.wikipedia.org/wiki/Battle_cry,"['youtu.be/8-xVEzStUkg?start=10&end=20', 'youtu.be/aNhVWZI5DXY?start=130&end=140', 'youtu.be/4Gz_dmk3v_A?start=30&end=40', 'youtu.be/RATOmpfWqUo?start=180&end=190', 'youtu.be/DRQPYwom_mY?start=40&end=50']",[],[]
15,/t/dd00135,Children shouting,함성(아이),"The boisterous vocalizations of a group of children, for instance in a playground.","아이들의 떠들썩한 목소리. (예를 들어, 놀이터)",,"['youtu.be/W4AptCGYj5w?start=30&end=40', 'youtu.be/w4VqralR-6E?start=10&end=20', 'youtu.be/vsgHNEEOKxk?start=150&end=160']",[],[]
16,/m/03qc9zr,Screaming,비명,"A sharp, high-pitched human vocalization; often an instinctive action indicating fear, pain, surprise, joy, anger, etc. Verbal content is absent or overwhelmed, unlike Shout and Yell.","날카롭고 높은 음조의 인간의 발성. 종종 두려움, 고통, 놀라움, 기쁨, 분노 등을 나타내는 본능적인 행동. 고함이나 외치는 소리와 달리 구두 내용이 없거나 압도되어 있다.",http://en.wikipedia.org/wiki/Screaming,"['youtu.be/ZHrf_y9q96Q?start=20&end=30', 'youtu.be/GqTExeZqXzw?start=20&end=30', 'youtu.be/vgpAqgBIpdM?start=220&end=230', 'youtu.be/GUsI_2tYVYM?start=29&end=39', 'youtu.be/52waxTykuLc?start=30&end=40', 'youtu.be/auC_LgwFF8g?start=30&end=40']",[],[]
17,/m/02rtxlg,Whispering,속삭임,"Unvoiced speech, usually intended to be quieter to avoid causing disturbance or being overheard.","일반적으로 방해받지 않고 다른 사람들에게 들리는 것을 피하기 위해 조용히 말하는 소리, 속삭임.",http://en.wikipedia.org/wiki/Whispering,"['youtu.be/Tr6NMYItPJk?start=490&end=500', 'youtu.be/wTjxa7yFyXQ?start=90&end=100', 'youtu.be/wAFz-WuuJ4o?start=210&end=220', 'youtu.be/-26vNAAFWH0?start=350&end=360', 'youtu.be/7S_iHrdfrvQ?start=30&end=40', 'youtu.be/cus68zSHXDA?start=90&end=100', 'youtu.be/CVGwF_-HXdo?start=540&end=550']",[],[]
18,/m/01j3sz,Laughter,웃음,"The sound of rhythmical contractions of the diaphragm in response to stimuli such as tickling, or from humorous stories or thoughts.",간지럼이나 유머러스한 이야기 또는 생각과 같은 자극에 대한 반응으로 나타나는 횡경막의 리듬감 있는 수축 소리.,http://en.wikipedia.org/wiki/Laughter,"['youtu.be/37hqUFpvl6A?start=40&end=50', 'youtu.be/ULTB6y2aj8I?start=40&end=50', 'youtu.be/c0V_HAul7rI?start=30&end=40', 'youtu.be/SwZ0V8bc2QY?start=350&end=360', 'youtu.be/aXS2iHSQE6g?start=10&end=20', 'youtu.be/4e-qMxrus0A?start=80&end=90', 'youtu.be/rPV1mbwWms0?start=60&end=70']","['/t/dd00001', '/m/07r660_', '/m/07s04w4', '/m/07sq110', '/m/07rgt08']",[]
