,라벨명,등장 횟수,평균 스코어,표준편차,최대 스코어,최소 스코어
0,Vehicle,439,0.2805137235951315,3.5840225946739133,0.8109404444694519,0.05057922750711441
1,"Outside, urban or manmade",280,0.09520804270037583,0.9358345934141912,0.4204460680484772,0.050024691969156265
2,Music,275,0.3112475237114863,3.4703846623983488,0.8223857283592224,0.05079552158713341
3,Train,262,0.261531958256969,2.8958072180557326,0.7473545670509338,0.050532370805740356
4,Animal,256,0.1521383995859651,1.594696178911262,0.6802476048469543,0.050436943769454956
5,Car,248,0.14670542071783735,1.4743339534523483,0.5012502670288086,0.050111886113882065
6,Rail transport,237,0.233330121963336,2.4811924002322208,0.6775853633880615,0.050386179238557816
7,"Railroad car, train wagon",227,0.23383625723126175,2.4199737626632256,0.700685441493988,0.052400317043066025
8,Speech,222,0.5792349850977058,3.1458223625944863,0.8236133456230164,0.05397966131567955
9,"Inside, public space",202,0.09554354958973899,0.43653827187089045,0.19959954917430878,0.05011283978819847
10,"Subway, metro, underground",196,0.15827145746776036,1.415719921746484,0.4998655617237091,0.0504351444542408
11,Ocean,159,0.19200189228890077,1.6798882540091165,0.6807809472084045,0.050071872770786285
12,"Waves, surf",157,0.19952638950317528,1.7053672613475759,0.6776484847068787,0.05021701753139496
13,Sliding door,132,0.10309214449741623,0.5602490331106059,0.30491742491722107,0.050037793815135956
14,Wind,130,0.11858862870587752,0.7513129735746746,0.4224388301372528,0.0501292422413826
15,"Domestic animals, pets",124,0.13233722160540282,1.1491097217395732,0.6606558561325073,0.05011505261063576
16,Aircraft,121,0.2427039701830257,1.9928974672170898,0.6686881184577942,0.050751954317092896
17,Wind noise (microphone),121,0.11769926575712922,0.7383151892749659,0.4117743670940399,0.05180898308753967
18,Pink noise,109,0.1490345592824144,0.9470008227879684,0.38947075605392456,0.05079542100429535
19,"Fixed-wing aircraft, airplane",101,0.2217000358101755,1.5514233140165559,0.5916675329208374,0.05030703544616699
20,Bow-wow,101,0.1499962033611713,1.000611162742498,0.5069306492805481,0.05010046064853668
21,Bus,97,0.07610611636767682,0.22990859778016795,0.1456914097070694,0.050067976117134094
22,Dog,97,0.14032608815996916,0.9517523791978385,0.521868884563446,0.05017450824379921
23,Clickety-clack,92,0.11488563198920178,0.5402249150679055,0.29311251640319824,0.05344590172171593
24,"Outside, rural or natural",90,0.07402588812013468,0.2645488005404706,0.18323342502117157,0.05017348751425743
25,"Traffic noise, roadway noise",86,0.10026034825416498,0.42428785552677256,0.26230791211128235,0.05109776556491852
26,"Boat, Water vehicle",80,0.11035716868937015,0.8093626601001604,0.5149185061454773,0.05032126605510712
27,Door,80,0.10706462152302265,0.41820434537411233,0.259265273809433,0.05015549808740616
28,Run,77,0.13900246877561917,0.8760852175324447,0.4890192151069641,0.05129653587937355
29,Truck,74,0.1322066068045191,0.9054051399048639,0.5129866003990173,0.05167113617062569
30,Motor vehicle (road),74,0.07131346003026576,0.1520386629772862,0.1250382959842682,0.050311777740716934
31,Clip-clop,73,0.07940195827451471,0.3373054040929855,0.3159642815589905,0.05033518001437187
