레코딩 분류,대분류,중분류,소분류 번호,소분류
필드 레코딩,1-공간,1-실제 공간(앰비언스),1,호텔
필드 레코딩,1-공간,1-실제 공간(앰비언스),2,병원
필드 레코딩,1-공간,1-실제 공간(앰비언스),3,놀이공원
필드 레코딩,1-공간,1-실제 공간(앰비언스),4,상업 몰
필드 레코딩,1-공간,1-실제 공간(앰비언스),5,공항
필드 레코딩,1-공간,1-실제 공간(앰비언스),6,전시장
필드 레코딩,1-공간,1-실제 공간(앰비언스),7,백화점
필드 레코딩,1-공간,1-실제 공간(앰비언스),8,마트
필드 레코딩,1-공간,1-실제 공간(앰비언스),9,재래시장
필드 레코딩,1-공간,1-실제 공간(앰비언스),10,지하상가
필드 레코딩,1-공간,1-실제 공간(앰비언스),11,주차장
필드 레코딩,1-공간,1-실제 공간(앰비언스),12,버스 정류장
필드 레코딩,1-공간,1-실제 공간(앰비언스),13,버스 터미널
필드 레코딩,1-공간,1-실제 공간(앰비언스),14,지하철역
필드 레코딩,1-공간,1-실제 공간(앰비언스),15,기차역
필드 레코딩,1-공간,1-실제 공간(앰비언스),16,레스토랑/음식점
필드 레코딩,1-공간,1-실제 공간(앰비언스),17,카페
필드 레코딩,1-공간,1-실제 공간(앰비언스),18,술집
필드 레코딩,1-공간,1-실제 공간(앰비언스),19,영화관
필드 레코딩,1-공간,1-실제 공간(앰비언스),20,헬스장
필드 레코딩,1-공간,1-실제 공간(앰비언스),21,상업지역
필드 레코딩,1-공간,1-실제 공간(앰비언스),22,도서관
필드 레코딩,1-공간,1-실제 공간(앰비언스),23,공원
필드 레코딩,1-공간,1-실제 공간(앰비언스),24,관공서
필드 레코딩,1-공간,1-실제 공간(앰비언스),25,사무실
필드 레코딩,1-공간,1-실제 공간(앰비언스),26,종교 시설
필드 레코딩,1-공간,1-실제 공간(앰비언스),27,수영장
필드 레코딩,1-공간,1-실제 공간(앰비언스),28,경기장 (실내)
필드 레코딩,1-공간,1-실제 공간(앰비언스),29,경기장 (실외)
필드 레코딩,1-공간,1-실제 공간(앰비언스),30,교외 거주지역
필드 레코딩,1-공간,1-실제 공간(앰비언스),31,아파트 단지
필드 레코딩,1-공간,1-실제 공간(앰비언스),32,가정 실내
필드 레코딩,1-공간,1-실제 공간(앰비언스),33,룸톤
필드 레코딩,1-공간,1-실제 공간(앰비언스),34,도심 지역
필드 레코딩,1-공간,1-실제 공간(앰비언스),35,교통 소리
필드 레코딩,1-공간,1-실제 공간(앰비언스),36,군중 소리
필드 레코딩,1-공간,1-실제 공간(앰비언스),37,동물원
필드 레코딩,1-공간,1-실제 공간(앰비언스),38,학교
필드 레코딩,1-공간,1-실제 공간(앰비언스),39,창고
필드 레코딩,1-공간,1-실제 공간(앰비언스),40,공장
필드 레코딩,1-공간,1-실제 공간(앰비언스),41,항구
필드 레코딩,2-환경,2-실제 환경(앰비언스),42,숲
필드 레코딩,2-환경,2-실제 환경(앰비언스),43,드넓은 초원
필드 레코딩,2-환경,2-실제 환경(앰비언스),44,동굴
필드 레코딩,2-환경,2-실제 환경(앰비언스),45,바닷가
필드 레코딩,2-환경,2-실제 환경(앰비언스),46,강/계곡/하천/냇가 등
필드 레코딩,2-환경,2-실제 환경(앰비언스),47,호숫가
필드 레코딩,2-환경,2-실제 환경(앰비언스),48,폭포
폴리/합성,2-환경,3-가상 공간/환경,49,가상 업무 공간
폴리/합성,2-환경,3-가상 공간/환경,50,고대 문명 도시
폴리/합성,2-환경,3-가상 공간/환경,51,해저 도시
폴리/합성,2-환경,3-가상 공간/환경,52,하늘 도시
폴리/합성,2-환경,3-가상 공간/환경,53,판타지 중세 성
폴리/합성,2-환경,3-가상 공간/환경,54,서부 총잡이 도시
폴리/합성,2-환경,3-가상 공간/환경,55,공상과학/사이버펑크 미래도시
폴리/합성,2-환경,3-가상 공간/환경,56,무한한 터널
폴리/합성,2-환경,3-가상 공간/환경,57,타임머신
폴리/합성,2-환경,3-가상 공간/환경,58,워프
폴리/합성,2-환경,3-가상 공간/환경,59,레이싱
폴리/합성,2-환경,3-가상 공간/환경,60,기계 도시
폴리/합성,2-환경,3-가상 공간/환경,61,우주 도시
폴리/합성,2-환경,3-가상 공간/환경,62,화산지대
폴리/합성,2-환경,3-가상 공간/환경,63,실험실
폴리/합성,2-환경,3-가상 공간/환경,64,우주선 복도
폴리/합성,2-환경,3-가상 공간/환경,65,우주 정거장
폴리/합성,2-환경,3-가상 공간/환경,66,서버실
폴리/합성,2-환경,3-가상 공간/환경,67,상황실
